experiment,condition,item_id,N,sum_response,response_rate,human_log_response_rate,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,prompt_text,context_text,suffix_text,weaker_target_surface,stronger_target_surface,weaker_word_logprob,stronger_word_logprob,weaker_candidate_plus_suffix_logprob,stronger_candidate_plus_suffix_logprob,word_logprob_stronger_minus_weaker,candidate_plus_suffix_logprob_stronger_minus_weaker,weaker_word_n_tokens,stronger_word_n_tokens,weaker_candidate_plus_suffix_n_tokens,stronger_candidate_plus_suffix_n_tokens,model_name
experiment_1,ESI,1,40,33,0.8250000000,-0.1923718926,allowed,allowed,obligatory,obligatory,Drinking is ,Drinking is,.,allowed,obligatory,-5.5144853592,-10.2097978592,-9.3221974373,-12.6784250736,-4.6953125000,-3.3562276363,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,2,40,2,0.0500000000,-2.9957322736,attractive,attractive,stunning,stunning,This model is ,This model is,.,attractive,stunning,-9.6062021255,-7.8640146255,-13.5785331726,-9.3722161055,1.7421875000,4.2063170671,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,3,40,8,0.2000000000,-1.6094379124,begin,began,complete,completed,John ,John, the race.,began,completed,-7.6056766510,-8.0431766510,-24.2737193108,-19.7879321575,-0.4375000000,4.4857871533,1,1,4,4,Qwen/Qwen2-7B
experiment_1,ESI,4,40,25,0.6250000000,-0.4700036292,believe,believes,know,knows,The teacher ,The teacher, it is true.,believes,knows,-8.6164674759,-6.8039674759,-23.9123291373,-19.3822146654,1.8125000000,4.5301144719,1,1,5,5,Qwen/Qwen2-7B
experiment_1,ESI,5,40,2,0.0500000000,-2.9957322736,big,big,enormous,enormous,The elephant is ,The elephant is,.,big,enormous,-4.6215872765,-8.7465877533,-6.8011002541,-10.5810335875,-4.1250004768,-3.7799333334,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,6,40,17,0.4250000000,-0.8556661101,cool,cool,cold,cold,The weather is ,The weather is,.,cool,cold,-5.2573347092,-4.0073347092,-8.0858974457,-6.6298205853,1.2500000000,1.4560768604,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,7,40,15,0.3750000000,-0.9808292530,damage,damage,destroy,destroy,The machine might ,The machine might, itself.,damage,destroy,-7.5887079239,-7.8543329239,-15.1473805904,-13.5433440208,-0.2656250000,1.6040365696,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,8,40,11,0.2750000000,-1.2909841813,dark,dark,black,black,The sky is ,The sky is,.,dark,black,-3.9008283615,-5.1508283615,-6.1959798336,-7.2538244724,-1.2500000000,-1.0578446388,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,9,40,28,0.7000000000,-0.3566749439,difficult,difficult,impossible,impossible,The task is ,The task is,.,difficult,impossible,-10.1617650986,-11.8492650986,-12.9621951580,-14.3073186874,-1.6875000000,-1.3451235294,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,10,40,3,0.0750000000,-2.5902671654,dirty,dirty,filthy,filthy,Zack's carpet was ,Zack's carpet was,.,dirty,filthy,-5.0720615387,-9.7595615387,-5.2046061456,-10.0855756104,-4.6875000000,-4.8809694648,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,11,40,9,0.2250000000,-1.4916548768,dislike,dislikes,loathe,loathes,The doctor ,The doctor, coffee.,dislikes,loathes,-12.7017602921,-16.0800248953,-22.5868043900,-26.6401795717,-3.3782646032,-4.0533751817,1,3,3,5,Qwen/Qwen2-7B
experiment_1,ESI,12,40,21,0.5250000000,-0.6443570164,double,double,triple,triple,The sales will ,The sales will,.,double,triple,-8.3120994568,-10.6870994568,-12.5051188469,-14.5054430962,-2.3750000000,-2.0003242493,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,13,40,27,0.6750000000,-0.3930425881,equally,equally,more,more,That candidate is ,That candidate is, skilled.,equally,more,-8.4349508286,-5.6068258286,-16.7791094780,-15.8651127815,2.8281250000,0.9139966965,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,14,40,2,0.0500000000,-2.9957322736,funny,funny,hilarious,hilarious,The movie is ,The movie is,.,funny,hilarious,-5.4411926270,-6.5974426270,-7.8701667786,-8.2986145020,-1.1562500000,-0.4284477234,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,15,40,12,0.3000000000,-1.2039728043,good,good,excellent,excellent,The movie is ,The movie is,.,good,excellent,-5.5661926270,-6.4411926270,-7.9378693104,-8.2725582123,-0.8750000000,-0.3346889019,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,16,40,2,0.0500000000,-2.9957322736,happy,happy,ecstatic,ecstatic,The winner was ,The winner was,.,happy,ecstatic,-9.2202911377,-11.3687286377,-12.6285166740,-12.8148181438,-2.1484375000,-0.1863014698,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,17,40,23,0.5750000000,-0.5533852382,hard,hard,unsolvable,unsolvable,The problem is ,The problem is,.,hard,unsolvable,-7.5918712616,-10.1927996874,-9.9160709381,-12.3791748285,-2.6009284258,-2.4631038904,1,2,2,3,Qwen/Qwen2-7B
experiment_1,ESI,18,40,8,0.2000000000,-1.6094379124,harmful,harmful,deadly,deadly,The toxin is ,The toxin is,.,harmful,deadly,-7.0123028755,-6.7935528755,-11.0664210320,-9.4582586288,0.2187500000,1.6081624032,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,19,40,20,0.5000000000,-0.6931471806,here,here,everywhere,everywhere,There is water ,There is water,.,here,everywhere,-4.5482549667,-2.5482552052,-6.4566292763,-4.3326035738,1.9999997615,2.1240257025,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,20,40,8,0.2000000000,-1.6094379124,hungry,hungry,starving,starving,The boy is ,The boy is,.,hungry,starving,-6.4657382965,-11.0594882965,-8.5378403664,-13.5138061047,-4.5937500000,-4.9759657383,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,21,40,2,0.0500000000,-2.9957322736,intelligent,intelligent,brilliant,brilliant,The student is ,The student is,.,intelligent,brilliant,-8.3973369598,-9.0692119598,-11.1817924976,-10.8901827335,-0.6718750000,0.2916097641,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,22,40,7,0.1750000000,-1.7429693051,intimidating,intimidating,terrifying,terrifying,Chris's opponent was ,Chris's opponent was,.,intimidating,terrifying,-11.5358753204,-11.9108753204,-12.7322672606,-12.9791877270,-0.3750000000,-0.2469204664,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,23,40,28,0.7000000000,-0.3566749439,largely,largely,totally,totally,The coast was ,The coast was, flooded.,largely,totally,-6.7921271324,-7.7921271324,-18.6386809349,-15.4185862541,-1.0000000000,3.2200946808,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,24,40,4,0.1000000000,-2.3025850930,like,likes,love,loves,The princess ,The princess, dancing.,likes,loves,-7.0505914688,-5.9880914688,-13.2510175705,-12.3794269562,1.0625000000,0.8715906143,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,25,40,35,0.8750000000,-0.1335313926,match,matches,exceed,exceeds,Bill's score ,Bill's score, Al's.,matches,exceeds,-11.9032888412,-11.8407888412,-24.3195984960,-28.0037867483,0.0625000000,-3.6841882523,1,1,4,4,Qwen/Qwen2-7B
experiment_1,ESI,26,40,35,0.8750000000,-0.1335313926,mostly,mostly,entirely,entirely,Peter's answers were ,Peter's answers were, wrong.,mostly,entirely,-5.5961837769,-7.0649337769,-11.4009178877,-12.1887553930,-1.4687500000,-0.7878375053,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,27,40,13,0.3250000000,-1.1239300967,old,old,ancient,ancient,The house is ,The house is,.,old,ancient,-6.2383913994,-9.8008918762,-9.3093800545,-11.8201239109,-3.5625004768,-2.5107438564,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,28,40,28,0.7000000000,-0.3566749439,once,once,twice,twice,Mistakes happened ,Mistakes happened,.,once,twice,-6.0955276489,-8.0955276489,-8.8611240387,-10.8502671719,-2.0000000000,-1.9891431332,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,29,40,10,0.2500000000,-1.3862943611,or,or,and,and,Jimmy writes books ,Jimmy writes books, plays.,or,and,-8.4172887802,-2.4797887802,-12.6317851543,-9.2997349501,5.9375000000,3.3320502042,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,30,40,4,0.1000000000,-2.3025850930,overweight,overweight,obese,obese,The teenager is ,The teenager is,.,overweight,obese,-9.1419086456,-10.9856586456,-11.0723866224,-13.0561532974,-1.8437500000,-1.9837666750,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,31,40,24,0.6000000000,-0.5108256238,overwhelmingly,overwhelmingly,unanimously,unanimously,The measure was supported ,The measure was supported,.,overwhelmingly,unanimously,-6.0567927361,-5.5567927361,-11.2018122673,-10.7092156410,0.5000000000,0.4925966263,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,32,40,19,0.4750000000,-0.7444404749,palatable,palatable,delicious,delicious,The wine is ,The wine is,.,palatable,delicious,-12.6617441177,-6.5626158714,-17.0119028091,-8.3994166851,6.0991282463,8.6124861240,2,1,3,2,Qwen/Qwen2-7B
experiment_1,ESI,33,40,38,0.9500000000,-0.0512932944,partially,partially,completely,completely,The tank is ,The tank is, full.,partially,completely,-6.5965075493,-6.0340075493,-11.4266414642,-9.0017364025,0.5625000000,2.4249050617,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,34,40,26,0.6500000000,-0.4307829161,permit,permits,require,requires,The club ,The club, dancing.,permits,requires,-11.1412763596,-7.0445961952,-24.9265909195,-25.4547696114,4.0966801644,-0.5281786919,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,35,40,2,0.0500000000,-2.9957322736,polished,polished,impeccable,impeccable,Ann's speech was ,Ann's speech was,.,polished,impeccable,-8.1347894669,-9.9160394669,-12.1486806870,-11.2832039595,-1.7812500000,0.8654767275,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,36,40,33,0.8250000000,-0.1923718926,possible,possible,certain,certain,Success is ,Success is,.,possible,certain,-4.6669397354,-8.0731897354,-7.1068940163,-10.9977703094,-3.4062500000,-3.8908762931,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,37,40,3,0.0750000000,-2.5902671654,pretty,pretty,beautiful,beautiful,The girl is ,The girl is,.,pretty,beautiful,-5.9630784988,-5.7755784988,-8.0406165123,-7.6953266859,0.1875000000,0.3452898264,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,38,40,31,0.7750000000,-0.2548922496,primarily,primarily,exclusively,exclusively,The residents are ,The residents are, Greek.,primarily,exclusively,-6.7911243439,-9.3536243439,-17.6517429352,-19.6412799358,-2.5625000000,-1.9895370006,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,39,40,22,0.5500000000,-0.5978370008,probably,probably,necessarily,necessarily,A delay will ,A delay will, occur.,probably,necessarily,-5.1209588051,-9.0897083282,-11.5631146431,-14.5847544670,-3.9687495231,-3.0216398239,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,40,40,32,0.8000000000,-0.2231435513,reduce,reduced,eliminate,eliminated,The city ,The city, waste.,reduced,eliminated,-11.4769792557,-11.6371355057,-23.5998802185,-25.1784796715,-0.1601562500,-1.5785994530,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,41,40,1,0.0250000000,-3.6888794541,scared,scared,petrified,petrified,Stu's daughter was ,Stu's daughter was,.,scared,petrified,-8.8703565598,-11.5788509166,-12.4572076797,-14.2060159957,-2.7084943568,-1.7488083160,1,3,2,4,Qwen/Qwen2-7B
experiment_1,ESI,42,40,3,0.0750000000,-2.5902671654,serious,serious,life-threatening,life-threatening,Kaye's illness was ,Kaye's illness was,.,serious,life-threatening,-5.4368143082,-6.5810588598,-7.3482073545,-7.8429955244,-1.1442445516,-0.4947881699,1,2,2,3,Qwen/Qwen2-7B
experiment_1,ESI,43,40,29,0.7250000000,-0.3215836241,similar,similar,identical,identical,The two paintings are ,The two paintings are,.,similar,identical,-2.9571323395,-4.3946323395,-6.6907305717,-6.8546166420,-1.4375000000,-0.1638860703,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,44,40,33,0.8250000000,-0.1923718926,slow,slowed,stop,stopped,The train ,The train,.,slowed,stopped,-7.1545386314,-5.5920386314,-12.6630578041,-9.9382743835,1.5625000000,2.7247834206,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,45,40,7,0.1750000000,-1.7429693051,small,small,tiny,tiny,The fish is ,The fish is,.,small,tiny,-5.9683256149,-8.8120756149,-8.6224446297,-10.8662996292,-2.8437500000,-2.2438549995,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,46,40,4,0.1000000000,-2.3025850930,snug,snug,tight,tight,The shirt is ,The shirt is,.,snug,tight,-9.7020921707,-7.1864671707,-12.9291336536,-9.7139954567,2.5156250000,3.2151381969,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,47,40,37,0.9250000000,-0.0779615415,some,some,all,all,Cecilia trusts ,Cecilia trusts, politicians.,some,all,-6.7936716080,-5.8561716080,-15.1333466768,-15.4722971916,0.9375000000,-0.3389505148,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,48,40,11,0.2750000000,-1.2909841813,start,started,finish,finished,The runner ,The runner,.,started,finished,-6.5379810333,-5.1004810333,-14.6757059097,-11.0587558746,1.4375000000,3.6169500351,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,49,40,10,0.2500000000,-1.3862943611,survive,survived,thrive,thrived,The plant ,The plant,.,survived,thrived,-9.5288896561,-12.4046356678,-14.6228737831,-16.3092026711,-2.8757460117,-1.6863288880,1,2,2,3,Qwen/Qwen2-7B
experiment_1,ESI,50,40,1,0.0250000000,-3.6888794541,tired,tired,exhausted,exhausted,The worker is ,The worker is,.,tired,exhausted,-6.8849096298,-9.1661596298,-8.7037608624,-11.4412701130,-2.2812500000,-2.7375092506,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,51,40,26,0.6500000000,-0.4307829161,tolerate,tolerate,encourage,encourage,Joey's parents ,Joey's parents, dating.,tolerate,encourage,-13.6033859253,-8.9002609253,-27.1723566055,-24.0386657715,4.7031250000,3.1336908340,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,52,40,31,0.7750000000,-0.2548922496,try,tried,succeed,succeeded,The candidate ,The candidate,.,tried,succeeded,-10.7293357849,-11.1824607849,-19.8586378098,-16.3980803490,-0.4531250000,3.4605574608,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,53,40,2,0.0500000000,-2.9957322736,ugly,ugly,hideous,hideous,The wallpaper is ,The wallpaper is,.,ugly,hideous,-9.6691493988,-10.4094967395,-11.0641291142,-11.7767196447,-0.7403473407,-0.7125905305,1,2,2,3,Qwen/Qwen2-7B
experiment_1,ESI,54,40,4,0.1000000000,-2.3025850930,understandable,understandable,articulate,articulate,Tom's interview was ,Tom's interview was,.,understandable,articulate,-10.7327013016,-14.6116075516,-13.3872754574,-18.6228742599,-3.8789062500,-5.2355988025,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,55,40,2,0.0500000000,-2.9957322736,unpleasant,unpleasant,disgusting,disgusting,Tim's bathroom was ,Tim's bathroom was,.,unpleasant,disgusting,-11.6032123566,-7.5407123566,-13.9352998734,-8.5589361191,4.0625000000,5.3763637543,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,56,40,26,0.6500000000,-0.4307829161,usually,usually,always,always,The lawyer is ,The lawyer is, early.,usually,always,-6.5660314560,-5.1910314560,-20.1924574375,-17.8772420883,1.3750000000,2.3152153492,1,1,3,3,Qwen/Qwen2-7B
experiment_1,ESI,57,40,6,0.1500000000,-1.8971199849,want,wants,need,needs,Phoebe ,Phoebe, a car.,wants,needs,-6.4766955376,-7.0704455376,-21.1660339832,-20.2265813351,-0.5937500000,0.9394526481,1,1,4,4,Qwen/Qwen2-7B
experiment_1,ESI,58,40,16,0.4000000000,-0.9162907319,warm,warm,hot,hot,The wather is ,The wather is,.,warm,hot,-3.4019770622,-2.9644770622,-6.1482644081,-5.3572878838,0.4375000000,0.7909765243,1,1,2,2,Qwen/Qwen2-7B
experiment_1,ESI,59,40,5,0.1250000000,-2.0794415417,well,well,superbly,superbly,The rehearsal went ,The rehearsal went,.,well,superbly,-1.4789307117,-7.8874767944,-2.7690358162,-9.2737107202,-6.4085460827,-6.5046749040,1,2,2,3,Qwen/Qwen2-7B
experiment_1,ESI,60,40,3,0.0750000000,-2.5902671654,willing,willing,eager,eager,The waiter is ,The waiter is,.,willing,eager,-7.0121827126,-7.2309327126,-14.9458227158,-14.2124500275,-0.2187500000,0.7333726883,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,1,39,28,0.7179487179,-0.3313571360,allowed,allowed,obligatory,obligatory,"Sue: Is drinking allowed?
Mary: Drinking is ","Sue: Is drinking allowed?
Mary: Drinking is",.,allowed,obligatory,-0.5882170200,-9.8069667816,-3.4207460880,-12.6612663269,-9.2187497616,-9.2405202389,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,2,42,5,0.1190476190,-2.1282317062,attractive,attractive,stunning,stunning,"Sue: Is this model attractive?
Mary: This model is ","Sue: Is this model attractive?
Mary: This model is",.,attractive,stunning,-2.3796408176,-6.2546405792,-4.5819971561,-8.3227903843,-3.8749997616,-3.7407932282,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,3,39,6,0.1538461538,-1.8718021772,begin,began,complete,completed,"Sue: Did John begin the race?
Mary: John ","Sue: Did John begin the race?
Mary: John", the race.,began,completed,-3.1397678852,-6.9522676468,-6.2898008376,-10.3415136337,-3.8124997616,-4.0517127961,1,1,4,4,Qwen/Qwen2-7B
experiment_2,Eweak,4,42,14,0.3333333333,-1.0986122888,believe,believes,know,knows,"Sue: Does the teacher believe it is true?
Mary: The teacher ","Sue: Does the teacher believe it is true?
Mary: The teacher", it is true.,believes,knows,-1.7513043880,-5.1888046265,-5.5723243654,-8.8386837840,-3.4375002385,-3.2663594186,1,1,5,5,Qwen/Qwen2-7B
experiment_2,Eweak,5,39,5,0.1282051282,-2.0541237337,big,big,enormous,enormous,"Sue: Is the elephant big?
Mary: The elephant is ","Sue: Is the elephant big?
Mary: The elephant is",.,big,enormous,-1.1321278811,-5.8196277618,-3.4778090715,-8.0714223385,-4.6874998807,-4.5936132670,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,6,42,18,0.4285714286,-0.8472978603,cool,cool,cold,cold,"Sue: Is the weather cool?
Mary: The weather is ","Sue: Is the weather cool?
Mary: The weather is",.,cool,cold,-1.5063167810,-3.5063166618,-3.8335243464,-5.7596065998,-1.9999998808,-1.9260822534,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,7,39,10,0.2564102564,-1.3609765532,damage,damage,destroy,destroy,"Sue: Might the machine damage itself?
Mary: The machine might ","Sue: Might the machine damage itself?
Mary: The machine might", itself.,damage,destroy,-0.7884139419,-5.2259140015,-3.6476414502,-8.2670731246,-4.4375000596,-4.6194316744,1,1,3,3,Qwen/Qwen2-7B
experiment_2,Eweak,8,42,7,0.1666666667,-1.7917594690,dark,dark,black,black,"Sue: Is the sky dark?
Mary: The sky is ","Sue: Is the sky dark?
Mary: The sky is",.,dark,black,-0.9506633282,-3.5131633282,-3.2343471050,-6.2251555920,-2.5625000000,-2.9908084870,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,9,39,27,0.6923076923,-0.3677247801,difficult,difficult,impossible,impossible,"Sue: Is the task difficult?
Mary: The task is ","Sue: Is the task difficult?
Mary: The task is",.,difficult,impossible,-2.3117032051,-4.6242032051,-4.6268563271,-7.1416635513,-2.3125000000,-2.5148072242,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,10,42,2,0.0476190476,-3.0445224381,dirty,dirty,filthy,filthy,"Sue: Was Zack's carpet dirty?
Mary: Zack's carpet was ","Sue: Was Zack's carpet dirty?
Mary: Zack's carpet was",.,dirty,filthy,-1.4794590473,-3.3544590473,-4.0274460316,-5.7631499767,-1.8750000000,-1.7357039451,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,11,39,10,0.2564102564,-1.3609765532,dislike,dislikes,loathe,loathes,"Sue: Does the doctor dislike coffee?
Mary: The doctor ","Sue: Does the doctor dislike coffee?
Mary: The doctor", coffee.,dislikes,loathes,-5.1933078766,-8.7672241963,-8.4715078473,-10.8707199339,-3.5739163197,-2.3992120866,1,3,3,5,Qwen/Qwen2-7B
experiment_2,Eweak,12,42,17,0.4047619048,-0.9044562741,double,double,triple,triple,"Sue: Will the sales double?
Mary: The sales will ","Sue: Will the sales double?
Mary: The sales will",.,double,triple,-1.4435017109,-2.5060017109,-5.2333500385,-5.9696104527,-1.0625000000,-0.7362604142,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,13,39,24,0.6153846154,-0.4855078158,equally,equally,more,more,"Sue: Is that candidate equally skilled?
Mary: That candidate is ","Sue: Is that candidate equally skilled?
Mary: That candidate is", skilled.,equally,more,-3.7467167377,-2.5592167377,-6.3514468968,-6.4725406170,1.1875000000,-0.1210937202,1,1,3,3,Qwen/Qwen2-7B
experiment_2,Eweak,14,42,5,0.1190476190,-2.1282317062,funny,funny,hilarious,hilarious,"Sue: Is the movie funny?
Mary: The movie is ","Sue: Is the movie funny?
Mary: The movie is",.,funny,hilarious,-1.6693967581,-1.9818967581,-3.8733953238,-4.4904173613,-0.3125000000,-0.6170220375,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,15,39,10,0.2564102564,-1.3609765532,good,good,excellent,excellent,"Sue: Is the movie good?
Mary: The movie is ","Sue: Is the movie good?
Mary: The movie is",.,good,excellent,-1.9826850891,-3.8576850891,-4.0437746048,-5.8999176025,-1.8750000000,-1.8561429977,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,16,42,4,0.0952380952,-2.3513752576,happy,happy,ecstatic,ecstatic,"Sue: Was the winner happy?
Mary: The winner was ","Sue: Was the winner happy?
Mary: The winner was",.,happy,ecstatic,-2.0776572227,-4.2651572227,-4.4832699299,-6.6965136528,-2.1875000000,-2.2132437229,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,17,39,24,0.6153846154,-0.4855078158,hard,hard,unsolvable,unsolvable,"Sue: Is the problem hard?
Mary: The problem is ","Sue: Is the problem hard?
Mary: The problem is",.,hard,unsolvable,-1.6080650091,-7.8240392804,-4.0418976545,-10.6026356816,-6.2159742713,-6.5607380271,1,2,2,3,Qwen/Qwen2-7B
experiment_2,Eweak,18,42,7,0.1666666667,-1.7917594690,harmful,harmful,deadly,deadly,"Sue: Is the toxin harmful?
Mary: The toxin is ","Sue: Is the toxin harmful?
Mary: The toxin is",.,harmful,deadly,-2.4007914066,-5.2132911682,-4.7511222363,-7.6115939617,-2.8124997616,-2.8604717254,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,19,39,12,0.3076923077,-1.1786549963,here,here,everywhere,everywhere,"Sue: Is there water here?
Mary: There is water ","Sue: Is there water here?
Mary: There is water",.,here,everywhere,-1.9120366573,-2.8495366573,-3.7180716991,-4.8005396128,-0.9375000000,-1.0824679137,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,20,42,11,0.2619047619,-1.3397743455,hungry,hungry,starving,starving,"Sue: Is the boy hungry?
Mary: The boy is ","Sue: Is the boy hungry?
Mary: The boy is",.,hungry,starving,-1.0881741047,-3.4631741047,-3.3098428249,-5.8376264572,-2.3750000000,-2.5277836323,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,21,39,4,0.1025641026,-2.2772672847,intelligent,intelligent,brilliant,brilliant,"Sue: Is the student intelligent?
Mary: The student is ","Sue: Is the student intelligent?
Mary: The student is",.,intelligent,brilliant,-1.7162408829,-4.4037408829,-4.0493497849,-6.3986034393,-2.6875000000,-2.3492536544,1,1,2,2,Qwen/Qwen2-7B
experiment_2,Eweak,22,42,5,0.1190476190,-2.1282317062,intimidating,intimidating,terrifying,terrifying,"Sue: Was Chris's opponent intimidating?
Mary: Chris's opponent was ","Sue: Was Chris's opponent intimidating?
Mary: Chris's opponent was",.,intimidating,terrifying,-3.3374853134,-6.3999853134,-5.6292171478,-8.6149239540,-3.0625000000,-2.9857068062,1,1,2,2,Qwen/Qwen2-7B
